Name,Short Description,Author,URL,Child Category
FlipView,"A small, easy to use android library for implementing flipping between views as seen in the popular Flipboard application",emilsjolander,https://github.com/emilsjolander/android-FlipView,FlipView
flow,A small library that helps with describing an app as a collection of moderately independent screens.,square,https://github.com/square/flow,Architecture
FreeFlow,A layout engine for Android that decouples layouts from the View containers that manage scrolling and view recycling. ,Comcast,https://github.com/Comcast/FreeFlow,Architecture
Genymotion,"Genymotion is the next generation of the AndroVM open source project, already trusted by 900,000 developers.

It’s even easier to use and has lots more functionalitie",Genymotion,http://www.genymotion.com/,Development Tools
Glide,"Glide is fast and efficient image loading library for Android that wraps image downloading, resizing, memory and disk caching, and bitmap recycling into one simple and easy to use interface. ",bumptech,https://github.com/bumptech/glide,Image Loading
greenDAO,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.,greenrobot,https://github.com/greenrobot/greenDAO,Databases
gson,Gson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object. G,google,https://code.google.com/p/google-gson/,JSON
InfiniteViewPager,Augment Android's ViewPager with wrap-around functionality.,antonyt,https://github.com/antonyt/InfiniteViewPager,ViewPager
ion,Android Asynchronous Networking and Image Loading,Koush,https://github.com/koush/ion,Networking
Joda-Time,"Joda-Time provides a quality replacement for the Java date and time classes. The design allows for multiple calendar systems, while still providing a simple API. The 'default' calendar is the ISO8601 standard which is used by XML. ",JodaOrg,https://github.com/JodaOrg/joda-time,Calender
KenBurnsView,Android ImageViews animated by Ken Burns Effect,flavioarfaria,https://github.com/flavioarfaria/KenBurnsView,ImageView
ListViewAnimations,"ListViewAnimations provides the following features:
1.Appearance animations for items in ListViews, GridViews, and other AbsListViews;
2.Swipe-to-Dismiss
3.Drag-and-Drop reordering;
4.Animate dismissal of items;
5.Animate addition of items;
6.Smoothly expand your items to reveal more content.",nhaarman,https://github.com/nhaarman/ListViewAnimations,ListView
Mirror,"Mirror: Live previews of Android layouts


Code layouts in Eclipse or Android Studio*
Preview on real devices with Mirror, instantly
Save time, write better code",Jimu Labs,http://jimulabs.com/,Development Tools
mortar,Mortar eases the use of Dagger to divide Android apps into composable modules.,square,https://github.com/square/mortar,Architecture
Motion,"An Android library allowing images to exhibit a parallax effect. By replacing static pictures and backgrounds with a fluid images that reacts to screen tilt and orientation, Android applications can add a perceived depth and layering to their content. ",nvanbenschoten,https://github.com/nvanbenschoten/motion,ImageView
OrmLite,Object Relational Mapping Lite (ORM Lite) provides some lightweight functionality for persisting Java objects to SQL databases while avoiding the complexity and overhead of more standard ORM packages.,,http://ormlite.com/sqlite_java_android_orm.shtml,Databases
otto,"Otto is an event bus designed to decouple different parts of your application while still allowing them to communicate efficiently.

Forked from Guava, Otto adds unique functionality to an already refined event bus as well as specializing it to the Android platform.",square,https://github.com/square/otto,Event Bus
PanningView,PanningView is a library which implements the animated background in the now playing screen of the Play Music app.,flavienlaurent,https://github.com/flavienlaurent/PanningView,AnimatedViews
Photoview,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",chrisbanes,https://github.com/chrisbanes/PhotoView,ImageView
poppyview,"Android library implementing a poppy view on scroll, similar to the one found in the Google Plus app",flavienlaurent,https://github.com/flavienlaurent/poppyview,ListView
Retrofit,Type-safe REST client for Android and Java.,Square,http://square.github.io/retrofit/,Http Clients
robotium,"Robotium is an Android test framework that has full support for WebViews, Activities, Dialogs, Toasts, Menus and Context Menus. ",RobotiumTech,https://github.com/RobotiumTech/robotium,Development Tools
RoundedImageView,a fast ImageView that supports rounded corners and ovals or circles,vinc3m1,https://github.com/vinc3m1/RoundedImageView,ImageView
scalpel,A surgical debugging tool to uncover the layers under your app.,JakeWharton,https://github.com/JakeWharton/scalpel,Development Tools
segmented-control,"This implementation is inspired by Segmented Controls for iOS.

A custom View for Android which is based on RadioGroup and RadioButton widget.",hoang8f,https://github.com/hoang8f/android-segmented-control,RadioButton/UI
ShakeDetector,This library provides a easy way to detect a shake movement using the build-in accelerometer and fire a callback on the UI thread every times it happens.,tbouron,https://github.com/tbouron/ShakeDetector,Sensors
Shimmer-android,An Android TextView with a shimmering effect,RomainPiel,https://github.com/RomainPiel/Shimmer-android,TextView
SlidingMenu,"SlidingMenu is an Open Source Android library that allows developers to easily create applications with sliding menus like those made popular in the Google+, YouTube, and Facebook apps.",jfeinstein10,https://github.com/jfeinstein10/SlidingMenu,Navigation Drawer
SmoothProgressBar,Small library allowing you to make a smooth indeterminate progress bar.,castorflex,https://github.com/castorflex/SmoothProgressBar,ProgressBar
Sprinkles,Sprinkles is a boiler-plate-reduction-library for dealing with databases in android applications.,emilsjolander,https://github.com/emilsjolander/sprinkles,Databases
StickyListHeaders,StickyListHeaders is an Android library that makes it easy to integrate section headers in your ListView. ,emilsjolander,https://github.com/emilsjolander/StickyListHeaders,Listview
Sugar,"Sugar is intended to simplify the interaction with SQLite database in Android.
",Satyan,https://github.com/satyan/sugar,Databases
SuperToasts,"The SuperToasts library enhances and builds upon the Android Toast class. Some of the features of this library include context sensitive toasts (SuperActivityToasts), toasts with buttons and icons, non context sensitive toasts (SuperToasts), and a new style of toasts (SuperCardToasts) with many customization options for each. ",JohnPersano,https://github.com/JohnPersano/SuperToasts,toasts
TimesSquare,Standalone Android widget for picking a single date from a calendar view.,square,https://github.com/square/android-times-square,Calender
ViewPager,An easy to use ViewPager that adds an awesome set of custom swiping animations. ,jfeinstein10,https://github.com/jfeinstein10/JazzyViewPager,ViewPager
Volley,"Volley is a library that makes networking for Android apps easier and most importantly, faster. 
https://developers.google.com/events/io/sessions/325304728
",google,https://android.googlesource.com/platform/frameworks/volley/,Http Clients
Android-MultiStateListView,"A simple Android ListView that lets you define three states: Loading, Empty & Error",jenzz,https://github.com/jenzz/Android-MultiStateListView,Listview
RoboSpice,Repo of the Open Source Android library : RoboSpice. RoboSpice is a modular android library that makes writing asynchronous long running tasks easy.,stephanenicolas,https://github.com/stephanenicolas/robospice,Networking
YouTube Android Player,The YouTube Android Player API enables you to incorporate video playback functionality into your Android applications.,google,https://developers.google.com/youtube/android/player/,Video Streaming
AutoFitTextView,A TextView that automatically resizes text to fit perfectly within its bounds.,grantland,https://github.com/grantland/android-autofittextview,TextView
AndroidSocialNetworks,"Library for easy work with Facebook, Twitter, LinkedIn and Google on Android",antonkrasov,https://github.com/antonkrasov/AndroidSocialNetworks,Social Networks
Simple,Simple is a high performance XML serialization and configuration framework for Java. Its goal is to provide an XML framework that enables rapid development of XML configuration and communication systems.,Simple,http://simple.sourceforge.net/,XML Serialization
DevAppsDirect - Demo Market,Developer Apps Direct is a large and growing collection of library demos.,inAppSquared,https://play.google.com/store/apps/details?id=com.inappsquared.devappsdirect,Demoes
mockito,Mockito lets you write beautiful tests with clean & simple API,Szczepan Faber and friends,https://code.google.com/p/mockito/,Testing
Android-RSS-Reader-Library,A RSS reader library to fetch a RSS feed from the web and parse it to workable objects,matshofman,https://github.com/matshofman/Android-RSS-Reader-Library,RSS Reader
android-validation-komensky,A simple library for validating user input in forms using annotations.,inmite,https://github.com/inmite/android-validation-komensky,Validation
Android-Validator,Form Validator Library for Android,throrin19,https://github.com/throrin19/Android-Validator,Validation
Google Play In-app Billing,In-app Billing is a Google Play service that lets you sell digital content from inside your applications,Google,http://developer.android.com/google/play/billing/index.html,In-App Billing
